coin_id,symbol,name
sosovalue,soso,SoSoValue
akash-network,akt,Akash Network
arweave,ar,Arweave
vaulta,a,Vaulta
theo-short-duration-us-treasury-fund,thbill,Theo Short Duration US Treasury Fund
tradable-latam-fintech-sstn,pc0000097,Tradable LatAm Fintech SSTN
1inch,1inch,1INCH
apollo-diversified-credit-securitize-fund,acred,Apollo Diversified Credit Securitize Fund
origintrail,trac,OriginTrail
golem,glm,Golem
gekko,gekko,GEKKO
instadapp,fluid,Fluid
sentient,sent,Sentient
bnb48-club-token,koge,KOGE
shuffle-2,shfl,Shuffle
ozone-chain,ozo,Ozone Chain
zero-gravity,0g,0G
elrond-erd-2,egld,MultiversX
eigenlayer,eigen,EigenCloud (prev. EigenLayer)
societe-generale-forge-eurcv,eurcv,EUR CoinVertible
avant-usd,avusd,Avant USD
gmt-token,gomining,GoMining Token
pleasing-usd,pusd,Pleasing USD
enjincoin,enj,Enjin Coin
astherus-usdf,usdf,Aster USDF
tradoor,tradoor,Tradoor
